"id","political_party","tweet","label","POS","NEG","NEU","robertuito_transformer"
"1344728786059874304","ciudadanos","🍊 2020 ha sido un año muy duro, pero Cs ha estado al lado de los españoles: ✅ Pactos para la reconstrucción. ✅ Apoyo a autónomos y pymes. ✅ Prórrogas de los ERTE. ✅ Evitamos subidas de impuestos.  💪Nuestro compromiso es seguir haciendo #PolíticaÚtil  🧡 ¡Feliz 2021 a todos!  https://t.co/4KnJws8ycn","NEU",0.305655866861343,0.204335525631905,0.490008592605591,"neutral"
"1344699053259558917","ciudadanos","No podíamos decir #Adiós2020 sin volver a agradecer el esfuerzo y la valentía de todos aquellos que nos han protegido frente a la pandemia.    ❤️💛❤️¡Millones de #GraciasHéroes!","POS",0.423431396484375,0.175557762384415,0.401010781526566,"positive"
"1344681722357678089","ciudadanos","😉 ¡No te pierdas el último episodio del año del #VlogDeMel!   👉 @MelisaRguezH responde a todas vuestras preguntas enviadas durante las Navidades.  🧡 ""Les deseo un 2021 lleno de esperanza y salud"".  📽️  https://t.co/ZKenBFNBoC  https://t.co/Inw3PRp71M","NEU",0.400031119585037,0.0522853843867779,0.547683477401733,"neutral"
"1344660080894029824","ciudadanos","🤝 Hoy decimos #Adiós2020, un año duro que nos ha mostrado la importancia de estar todos juntos.   🍊Por eso, pese a que algunos quieran separarnos, en 2021 vamos a estar más unidos que nunca. TODOS 🧡  ¡Feliz 2021! 🌟  https://t.co/bKHNXeUgiZ","NEU",0.206249013543129,0.214746430516243,0.57900458574295,"neutral"
"1344634410901991425","ciudadanos","📡 @CsarZafra ""El mejor deseo para todos es poder volver a nuestras vidas lo antes posible sin olvidar a todos aquellos que no siguen con nosotros"" #ActualidadCs    🍊 Nuestro compromiso para el próximo año es seguir haciendo #PolíticaÚtil por los ciudadanos.  https://t.co/6FZdsdD20p","NEU",0.220043286681175,0.104641154408455,0.67531555891037,"neutral"
"1344633404080328710","ciudadanos","🙁 2020 ha sido un año horrible en el que hemos perdido a demasiada gente y muchos empleos.   📡 @CsarZafra ""Las asociaciones en los barrios están haciendo un trabajo enorme para que nadie quede atrás"" #ActualidadCs  💪Ese es el ejemplo de lo que tenemos que seguir haciendo.  https://t.co/kNWfGJHq0P","NEG",0.00491185672581196,0.946856617927551,0.0482315979897976,"negative"
"1344632649055289344","ciudadanos","🍊🪁🧸 Hoy @CsarZafra se ha trasladado hasta Móstoles para entregar al comedor social San Simón de Rojas los juguetes recogidos en las carpas solidarias de Cs.    📡 Después ha atendido a los medios, ¡ te dejamos un resumen!  https://t.co/pbYkRPSMqp","NEU",0.190223589539528,0.117927476763725,0.691848993301392,"neutral"
"1344614102690390018","ciudadanos","🍊 Hoy dejamos atrás un año difícil y @Carrizosacarlos ha querido dejar un mensaje de Fin de Año para los catalanes:   “Quiero transmitir un mensaje de optimismo y esperanza. El futuro no está escrito, otra Cataluña es posible"".     https://t.co/RdNnXtRzfU","POS",0.422200232744217,0.190225139260292,0.38757461309433,"positive"
"1344587856598208522","ciudadanos","🍊Cs apoyará los Presupuestos de comunidades y ciudades muy importantes de España.     👉 Será a cambio de ayudas a autónomos y pymes, más inversión en sanidad y moderación fiscal.  ✅ Esto es ser responsables y hacer #PolíticaÚtil  📽 ¡Lo cuenta @InesArrimadas!  https://t.co/ua5tcY8SnH","NEU",0.38041153550148,0.0939360335469246,0.525652408599854,"neutral"
"1344565616435490818","ciudadanos","🚨 Es increíble que tengamos a un ministro de Sanidad a tiempo parcial en mitad de una pandemia.   📺 @Carrizosacarlos ""El PSOE ha priorizado su interés partidista a la salud de los españoles"" en el @elprogramadear   ❗️ ¡Es una irresponsabilidad!  https://t.co/S44yHOob6x","NEG",0.0052986522205174,0.944832861423492,0.0498684421181679,"negative"
